Estudo;Group;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5;Activity 6;Activity 7;Activity 8;Activity 9
Study 1;Experimental;76.15%;76.15%;77.69%;79.92%;81.62%;89.23%;90.77%;89.23%;93.85%
Study 1;Controle;52.35%;59.12%;67.45%;65.33%;79.88%;81.22%;78.66%;82.56%;80.58%
Study 2;Experimental;60.12%;62.02%;74.65%;70.92%;80.20%;83.85%;90.12%;93.73%;94.03%
Study 2;Controle;56.42%;61.11%;64.49%;66.43%;72.12%;79.26%;82.12%;82.93%;84.14%
Study 3;Experimental;60.12%;62.02%;74.65%;70.92%;74.20%;81.85%;87.87%;93.73%;94.03%
Study 3;Controle;63.32%;61.84%;76.12%;69.09%;78.11%;79.44%;87.35%;92.22%;87.66%
Study 4;Experimental;78.10%;79.12%;81.33%;83.44%;85.55%;88.67%;90.12%;91.23%;94.44%
Study 4;Controle;55.12%;60.88%;64.22%;67.33%;71.44%;74.55%;76.66%;80.77%;82.88%
